,weekday,time_hour,id,tweetid,created_at,egoID,utc_offset,local_datetime
0,Friday,0,1521,20124,20022,1521,26,19703
1,Friday,1,1255,13351,13301,1255,23,13143
2,Friday,2,1027,9492,9253,1027,24,9183
3,Friday,3,872,7298,7265,872,25,7224
4,Friday,4,784,6581,6556,784,23,6524
5,Friday,5,857,7165,7144,857,24,7109
6,Friday,6,1083,8771,8665,1083,25,8594
7,Friday,7,1295,11994,11910,1295,25,11810
8,Friday,8,1483,14145,14080,1483,25,13939
9,Friday,9,1576,16033,15807,1576,26,15608
10,Friday,10,1668,17196,17005,1668,26,16818
11,Friday,11,1722,18481,18279,1722,25,18043
12,Friday,12,1739,19448,19296,1739,26,19023
13,Friday,13,1790,18944,18832,1790,27,18559
14,Friday,14,1782,19023,18909,1782,27,18631
15,Friday,15,1794,19901,19810,1794,27,19537
16,Friday,16,1776,20443,20360,1776,26,20061
17,Friday,17,1813,20691,20604,1813,27,20273
18,Friday,18,1818,21639,21540,1818,27,21170
19,Friday,19,1805,22795,22658,1805,27,22255
20,Friday,20,1831,24441,24309,1831,26,23837
21,Friday,21,1821,26151,26058,1821,27,25530
22,Friday,22,1776,26203,26035,1776,26,25496
23,Friday,23,1689,23907,23817,1689,25,23325
24,Monday,0,1473,21068,20986,1473,25,20607
25,Monday,1,1278,14511,14472,1278,26,14295
26,Monday,2,1034,9280,9226,1034,25,9148
27,Monday,3,845,7095,7046,845,24,7006
28,Monday,4,777,6414,6384,777,24,6358
29,Monday,5,821,7076,7038,821,23,7003
30,Monday,6,1021,8181,8100,1021,24,8036
31,Monday,7,1235,11721,11611,1235,26,11496
32,Monday,8,1420,13935,13812,1420,23,13685
33,Monday,9,1578,14810,14710,1578,25,14541
34,Monday,10,1642,16531,16436,1642,24,16229
35,Monday,11,1698,17276,17186,1698,25,16993
36,Monday,12,1731,18692,18585,1731,27,18345
37,Monday,13,1764,18932,18816,1764,27,18581
38,Monday,14,1776,19491,19146,1776,27,18851
39,Monday,15,1813,19738,19658,1813,26,19379
40,Monday,16,1797,20886,20760,1797,27,20434
41,Monday,17,1827,21840,21764,1827,27,21416
42,Monday,18,1838,24246,24064,1838,27,23579
43,Monday,19,1837,26733,26519,1837,25,25991
44,Monday,20,1868,28833,28637,1868,27,27986
45,Monday,21,1853,31611,31419,1853,26,30579
46,Monday,22,1802,29960,29859,1802,26,29130
47,Monday,23,1706,26749,26630,1706,26,26061
48,Saturday,0,1541,19925,19833,1541,25,19515
49,Saturday,1,1330,14092,14014,1330,24,13860
50,Saturday,2,1129,10317,10286,1129,25,10193
51,Saturday,3,927,7847,7806,927,24,7756
52,Saturday,4,846,6615,6599,846,24,6565
53,Saturday,5,838,6890,6870,838,24,6842
54,Saturday,6,940,7186,7093,940,25,7051
55,Saturday,7,1106,9129,9034,1106,25,8970
56,Saturday,8,1330,11750,11702,1330,25,11596
57,Saturday,9,1480,14131,14052,1480,25,13926
58,Saturday,10,1604,16745,16620,1604,26,16415
59,Saturday,11,1681,17746,17631,1681,26,17387
60,Saturday,12,1697,19380,19200,1697,25,18955
61,Saturday,13,1728,19427,19317,1728,25,19018
62,Saturday,14,1731,19267,19217,1731,25,18936
63,Saturday,15,1743,19594,19477,1743,27,19175
64,Saturday,16,1772,19373,19290,1772,27,18993
65,Saturday,17,1766,19905,19722,1766,26,19417
66,Saturday,18,1750,21073,20903,1750,26,20576
67,Saturday,19,1751,22689,22550,1751,26,22161
68,Saturday,20,1757,24585,24437,1757,25,23922
69,Saturday,21,1777,25498,25370,1777,26,24806
70,Saturday,22,1724,25228,25122,1724,26,24618
71,Saturday,23,1683,24864,24757,1683,26,24198
