,dayOfWeek,hour,id
0,Friday,0,1153
1,Friday,1,856
2,Friday,2,598
3,Friday,3,451
4,Friday,4,413
5,Friday,5,502
6,Friday,6,774
7,Friday,7,1325
8,Friday,8,2125
9,Friday,9,2783
10,Friday,10,3203
11,Friday,11,3345
12,Friday,12,3263
13,Friday,13,3074
14,Friday,14,3297
15,Friday,15,3239
16,Friday,16,2934
17,Friday,17,2495
18,Friday,18,2127
19,Friday,19,1814
20,Friday,20,1602
21,Friday,21,1534
22,Friday,22,1514
23,Friday,23,1311
24,Monday,0,1003
25,Monday,1,734
26,Monday,2,548
27,Monday,3,409
28,Monday,4,412
29,Monday,5,465
30,Monday,6,696
31,Monday,7,1227
32,Monday,8,1891
33,Monday,9,2602
34,Monday,10,2991
35,Monday,11,3167
36,Monday,12,3167
37,Monday,13,3212
38,Monday,14,3349
39,Monday,15,3368
40,Monday,16,3107
41,Monday,17,2818
42,Monday,18,2361
43,Monday,19,2027
44,Monday,20,1895
45,Monday,21,1886
46,Monday,22,1787
47,Monday,23,1486
48,Saturday,0,1027
49,Saturday,1,745
50,Saturday,2,545
51,Saturday,3,438
52,Saturday,4,309
53,Saturday,5,357
54,Saturday,6,430
55,Saturday,7,658
56,Saturday,8,917
57,Saturday,9,1271
58,Saturday,10,1478
59,Saturday,11,1628
60,Saturday,12,1649
61,Saturday,13,1619
62,Saturday,14,1687
63,Saturday,15,1699
64,Saturday,16,1663
65,Saturday,17,1607
66,Saturday,18,1520
67,Saturday,19,1444
68,Saturday,20,1395
69,Saturday,21,1394
70,Saturday,22,1368
71,Saturday,23,1228
72,Sunday,0,1053
73,Sunday,1,801
74,Sunday,2,576
75,Sunday,3,423
76,Sunday,4,348
77,Sunday,5,336
78,Sunday,6,426
79,Sunday,7,578
80,Sunday,8,868
81,Sunday,9,1134
82,Sunday,10,1340
83,Sunday,11,1518
84,Sunday,12,1533
85,Sunday,13,1566
86,Sunday,14,1534
87,Sunday,15,1652
88,Sunday,16,1609
89,Sunday,17,1584
90,Sunday,18,1535
91,Sunday,19,1567
92,Sunday,20,1501
93,Sunday,21,1511
94,Sunday,22,1490
95,Sunday,23,1306
96,Thursday,0,1152
97,Thursday,1,839
98,Thursday,2,628
99,Thursday,3,457
100,Thursday,4,414
101,Thursday,5,524
102,Thursday,6,769
103,Thursday,7,1379
104,Thursday,8,2216
105,Thursday,9,2876
106,Thursday,10,3382
107,Thursday,11,3516
108,Thursday,12,3401
109,Thursday,13,3404
110,Thursday,14,3533
111,Thursday,15,3504
112,Thursday,16,3188
113,Thursday,17,2750
114,Thursday,18,2336
115,Thursday,19,2056
116,Thursday,20,1956
117,Thursday,21,1842
118,Thursday,22,1721
119,Thursday,23,1474
120,Tuesday,0,1169
121,Tuesday,1,796
122,Tuesday,2,609
123,Tuesday,3,461
124,Tuesday,4,427
125,Tuesday,5,498
126,Tuesday,6,814
127,Tuesday,7,1358
128,Tuesday,8,2147
129,Tuesday,9,2846
130,Tuesday,10,3276
131,Tuesday,11,3408
132,Tuesday,12,3334
133,Tuesday,13,3336
134,Tuesday,14,3502
135,Tuesday,15,3523
136,Tuesday,16,3277
137,Tuesday,17,2809
138,Tuesday,18,2360
139,Tuesday,19,2053
140,Tuesday,20,1949
141,Tuesday,21,1880
142,Tuesday,22,1823
143,Tuesday,23,1535
144,Wednesday,0,1144
145,Wednesday,1,808
146,Wednesday,2,617
147,Wednesday,3,484
148,Wednesday,4,442
149,Wednesday,5,517
150,Wednesday,6,837
151,Wednesday,7,1428
152,Wednesday,8,2194
153,Wednesday,9,2916
154,Wednesday,10,3388
155,Wednesday,11,3475
156,Wednesday,12,3456
157,Wednesday,13,3423
158,Wednesday,14,3579
159,Wednesday,15,3618
160,Wednesday,16,3325
161,Wednesday,17,2853
162,Wednesday,18,2438
163,Wednesday,19,2130
164,Wednesday,20,1978
165,Wednesday,21,1858
166,Wednesday,22,1809
167,Wednesday,23,1484
